AIR	=0,
FLOWING_WATER	=1,
STILL_WATER	=2,
OAK_LEAVES	=3,
SPRUCE_LEAVES	=4,
BIRCH_LEAVES	=5,
JUNGLE_LEAVES	=6,
GLASS	=7,
Unknown	=8,
Unknown	=9,
STONE	=10,
GRASS	=11,
DIRT	=12,
COBBLESTONE	=13,
BEDROCK	=14,
FLOWING_LAVA	=15,
STILL_LAVA	=16,
SAND	=17,
GRAVEL	=18,
GOLD_ORE	=19,
IRON_ORE	=20,
COAL_ORE	=21,
LAPIS_LAZULI_ORE	=22,
LAPIS_LAZULI_BLOCK	=23,
DISPENSER	=24,
SANDSTONE	=25,
Unknown	=26,
Unknown	=27,
Unknown	=28,
Unknown	=29,
COBWEB	=30,
GRASS	=31,
Unknown	=32,
Unknown	=33,
Unknown	=34,
Unknown	=35,
Unknown	=36,
DANDELION	=37,
Unknown	=38,
BROWN_MUSHROOM	=39,
RED_MUSHROOM	=40,
GOLD_BLOCK	=41,
IRON_BLOCK	=42,
Unknown	=43,
Unknown	=44,
BRICKS	=45,
TNT	=46,
BOOKSHELF	=47,
MOSS_STONE	=48,
OBSIDIAN	=49,
TORCH	=50,
FIRE	=51,
Unknown	=52,
Unknown	=53,
CHEST	=54,
Unknown	=55,
DIAMOND_ORE	=56,
DIAMOND_BLOCK	=57,
CRAFTING_TABLE	=58,
WHEAT_CROPS	=59,
FARMLAND	=60,
FURNACE	=61,
BURNING_FURNACE	=62,
Unknown	=63,
OAK_DOOR_BLOCK	=64,
LADDER	=65,
RAIL	=66,
Unknown	=67,
Unknown	=68,
Unknown	=69,
Unknown	=70,
Unknown	=71,
Unknown	=72,
Unknown	=73,
Unknown	=74,
Unknown	=75,
Unknown	=76,
Unknown	=77,
SNOW	=78,
ICE	=79,
SNOW_BLOCK	=80,
CACTUS	=81,
CLAY	=82,
SUGAR_CANES	=83,
JUKEBOX	=84,
OAK_FENCE	=85,
PUMPKIN	=86,
NETHERRACK	=87,
SOUL_SAND	=88,
GLOWSTONE	=89,
NETHER_PORTAL	=90,
JACK_O'LANTERN	=91,
CAKE_BLOCK	=92,
Unknown	=93,
Unknown	=94,
Unknown	=95,
Unknown	=96,
Unknown	=97,
Unknown	=98,
Unknown	=99,
OAK_WOOD	=100,
SPRUCE_WOOD	=101,
BIRCH_WOOD	=102,
JUNGLE_WOOD	=103,
OAK_WOOD_PLANK	=104,
SPRUCE_WOOD_PLANK	=105,
BIRCH_WOOD_PLANK	=106,
JUNGLE_WOOD_PLANK	=107,
ACACIA_WOOD_PLANK	=108,
DARK_OAK_WOOD_PLANK	=109,
OAK_SAPLING	=110,
SPRUCE_SAPLING	=111,
BIRCH_SAPLING	=112,
JUNGLE_SAPLING	=113,
ACACIA_SAPLING	=114,
DARK_OAK_SAPLING	=115,
Unknown	=116,
Unknown	=117,
Unknown	=118,
Unknown	=119,
WHITE_WOOL	=120,
ORANGE_WOOL	=121,
MAGENTA_WOOL	=122,
LIGHT_BLUE_WOOL	=123,
YELLOW_WOOL	=124,
LIME_WOOL	=125,
PINK_WOOL	=126,
GRAY_WOOL	=127,
LIGHT_GRAY_WOOL	=128,
CYAN_WOOL	=129,
PURPLE_WOOL	=130,
BLUE_WOOL	=131,
BROWN_WOOL	=132,
GREEN_WOOL	=133,
RED_WOOL	=134,
BLACK_WOOL	=135,
Unknown	=136,
Unknown	=137,
Unknown	=138,
